Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Jumlah_Kasus_Diperiksa_Harian_T,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
349,2021/02/13 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,296
350,2021/02/14 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,297
351,2021/02/15 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,298
352,2021/02/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,299
353,2021/02/17 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,300
354,2021/02/18 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,301
355,2021/02/19 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,302
356,2021/02/20 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,303
357,2021/02/21 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,304
358,2021/02/22 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,305
359,2021/02/23 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,306
360,2021/02/24 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,307
361,2021/02/25 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,308
362,2021/02/26 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,309
363,2021/02/27 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,310
364,2021/02/28 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,311
365,2021/03/01 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,312
366,2021/03/02 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,313
266,2020/11/22 00:00:00+00,497668,418188,15884,63596,4360,4233,110,17,84.02951365,3.191686024,12.77880032,5340537,3553142,3055474,35989,26535,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,314
267,2020/11/23 00:00:00+00,502110,422386,16002,63722,4442,4198,118,126,84.1222043,3.186951066,12.69084464,5380620,3580476,3078366,40083,27334,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,315
268,2020/11/24 00:00:00+00,506302,425313,16111,64878,4192,2927,109,1156,84.0038159,3.182092901,12.81409119,5420591,3608244,3101942,39971,27768,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,316
269,2020/11/25 00:00:00+00,511836,429807,16225,65804,5534,4494,114,926,83.97357747,3.169960691,12.85646184,5465921,3651964,3140128,45330,43720,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,317
